2019-01-02 15:03:00,Medio-Alto,b
2019-01-03 03:00:00,#¡VALOR!,acc
2019-01-05 03:00:00,#¡VALOR!,acc
2019-01-05 15:03:00,Medio-Alto,b
2019-01-07 03:00:00,#¡VALOR!,acc
2019-01-08 15:03:00,Medio-Alto,b
2019-01-09 03:00:00,#¡VALOR!,acc
2019-01-11 03:00:00,#¡VALOR!,acc
2019-01-11 15:03:00,Medio-Alto,b
2019-01-13 03:00:00,#¡VALOR!,acc
2019-01-14 15:03:00,Medio-Alto,b
2019-01-15 03:00:00,#¡VALOR!,acc
2019-01-17 03:00:00,#¡VALOR!,acc
2019-01-17 15:03:00,Medio-Alto,b
2019-01-19 03:00:00,#¡VALOR!,acc
2019-01-20 15:03:00,Medio-Alto,b
2019-01-21 03:00:00,#¡VALOR!,acc
2019-01-23 03:00:00,#¡VALOR!,acc
2019-01-23 15:03:00,Medio-Alto,b
2019-01-25 03:00:00,#¡VALOR!,acc
2019-01-26 15:03:00,Medio-Alto,b
2019-01-27 03:00:00,#¡VALOR!,acc
2019-01-29 03:00:00,#¡VALOR!,acc
2019-01-29 15:03:00,Medio-Alto,b
2019-01-31 03:00:00,#¡VALOR!,acc
2019-02-01 15:03:00,Medio-Alto,b
2019-02-02 03:00:00,#¡VALOR!,acc
2019-02-04 03:00:00,#¡VALOR!,acc
2019-02-04 15:03:00,Medio-Alto,b
2019-02-06 03:00:00,#¡VALOR!,acc
2019-02-07 15:03:00,Medio-Alto,b
2019-02-08 03:00:00,#¡VALOR!,acc
2019-02-10 03:00:00,#¡VALOR!,acc
2019-02-10 15:03:00,Medio-Alto,b
2019-02-12 03:00:00,#¡VALOR!,acc
2019-02-13 15:03:00,Medio-Alto,b
2019-02-14 03:00:00,#¡VALOR!,acc
2019-02-16 03:00:00,#¡VALOR!,acc
2019-02-16 15:03:00,Medio-Alto,b
2019-02-18 03:00:00,#¡VALOR!,acc
2019-02-19 15:03:00,Medio-Alto,b
2019-02-20 03:00:00,#¡VALOR!,acc
2019-02-22 03:00:00,#¡VALOR!,acc
2019-02-22 15:03:00,Medio-Alto,b
2019-02-24 03:00:00,#¡VALOR!,acc
2019-02-25 15:03:00,Medio-Alto,b
2019-02-26 03:00:00,#¡VALOR!,acc
2019-02-28 03:00:00,#¡VALOR!,acc
2019-02-28 15:03:00,Medio-Alto,b
2019-03-02 03:00:00,#¡VALOR!,acc
2019-03-03 15:03:00,Medio-Alto,b
2019-03-04 03:00:00,#¡VALOR!,acc
2019-03-06 03:00:00,#¡VALOR!,acc
2019-03-06 15:03:00,Medio-Alto,b
2019-03-08 03:00:00,#¡VALOR!,acc
2019-03-09 15:03:00,Medio-Alto,b
2019-03-10 03:00:00,#¡VALOR!,acc
2019-03-12 03:00:00,#¡VALOR!,acc
2019-03-12 15:03:00,Medio-Alto,b
2019-03-14 03:00:00,#¡VALOR!,acc
2019-03-15 15:03:00,Medio-Alto,b
2019-03-16 03:00:00,#¡VALOR!,acc
2019-03-18 03:00:00,#¡VALOR!,acc
2019-03-18 15:03:00,Medio-Alto,b
2019-03-20 03:00:00,#¡VALOR!,acc
2019-03-21 15:03:00,Medio-Alto,b
2019-03-22 03:00:00,#¡VALOR!,acc
2019-03-24 03:00:00,#¡VALOR!,acc
2019-03-24 15:03:00,Medio-Alto,b
2019-03-26 03:00:00,#¡VALOR!,acc
2019-03-27 15:03:00,Medio-Alto,b
2019-03-28 03:00:00,#¡VALOR!,acc
2019-03-30 03:00:00,#¡VALOR!,acc
2019-03-30 15:03:00,Medio-Alto,b
2019-04-01 03:00:00,#¡VALOR!,acc
2019-04-02 15:03:00,Medio-Alto,b
2019-04-03 03:00:00,#¡VALOR!,acc
2019-04-05 03:00:00,#¡VALOR!,acc
2019-04-05 15:03:00,Medio-Alto,b
2019-04-07 03:00:00,#¡VALOR!,acc
2019-04-08 15:03:00,Medio-Alto,b
2019-04-09 03:00:00,#¡VALOR!,acc
2019-04-11 03:00:00,#¡VALOR!,acc
2019-04-11 15:03:00,Medio-Alto,b
2019-04-13 03:00:00,#¡VALOR!,acc
2019-04-14 15:03:00,Medio-Alto,b
2019-04-15 03:00:00,#¡VALOR!,acc
2019-04-17 03:00:00,#¡VALOR!,acc
2019-04-17 15:03:00,Medio-Alto,b
2019-04-19 03:00:00,#¡VALOR!,acc
2019-04-20 15:03:00,Medio-Alto,b
2019-04-21 03:00:00,#¡VALOR!,acc
2019-04-23 03:00:00,#¡VALOR!,acc
2019-04-23 15:03:00,Medio-Alto,b
2019-04-25 03:00:00,#¡VALOR!,acc
2019-04-26 15:03:00,Medio-Bajo,b
2019-04-27 03:00:00,#¡VALOR!,acc
2019-04-29 03:00:00,#¡VALOR!,acc
2019-04-29 15:03:00,Medio-Bajo,b
2019-05-01 03:00:00,#¡VALOR!,acc
2019-05-02 15:03:00,Medio-Bajo,b
2019-05-03 03:00:00,#¡VALOR!,acc
2019-05-05 03:00:00,#¡VALOR!,acc
2019-05-05 15:03:00,Medio-Bajo,b
2019-05-07 03:00:00,#¡VALOR!,acc
2019-05-08 15:03:00,Medio-Bajo,b
2019-05-09 03:00:00,#¡VALOR!,acc
2019-05-11 03:00:00,#¡VALOR!,acc
2019-05-11 15:03:00,Medio-Bajo,b
2019-05-13 03:00:00,#¡VALOR!,acc
2019-05-14 15:03:00,Medio-Bajo,b
2019-05-15 03:00:00,#¡VALOR!,acc
2019-05-17 03:00:00,#¡VALOR!,acc
2019-05-17 15:03:00,Medio-Bajo,b
2019-05-19 03:00:00,#¡VALOR!,acc
2019-05-20 15:03:00,Medio-Bajo,b
2019-05-21 03:00:00,#¡VALOR!,acc
2019-05-23 03:00:00,#¡VALOR!,acc
2019-05-23 15:03:00,Medio-Bajo,b
2019-05-25 03:00:00,#¡VALOR!,acc
2019-05-26 15:03:00,Medio-Bajo,b
2019-05-27 03:00:00,#¡VALOR!,acc
2019-05-29 03:00:00,#¡VALOR!,acc
2019-05-29 15:03:00,Medio-Bajo,b
2019-05-31 03:00:00,#¡VALOR!,acc
2019-06-01 15:03:00,Medio-Bajo,b
2019-06-02 03:00:00,#¡VALOR!,acc
2019-06-04 03:00:00,#¡VALOR!,acc
2019-06-04 15:03:00,Medio-Bajo,b
2019-06-06 03:00:00,#¡VALOR!,acc
2019-06-07 15:03:00,Medio-Bajo,b
2019-06-08 03:00:00,#¡VALOR!,acc
2019-06-10 03:00:00,#¡VALOR!,acc
2019-06-10 15:03:00,Medio-Bajo,b
2019-06-12 03:00:00,#¡VALOR!,acc
2019-06-13 15:03:00,Medio-Bajo,b
2019-06-14 03:00:00,#¡VALOR!,acc
2019-06-16 03:00:00,#¡VALOR!,acc
2019-06-16 15:03:00,Medio-Bajo,b
2019-06-18 03:00:00,#¡VALOR!,acc
2019-06-19 15:03:00,Medio-Bajo,b
2019-06-20 03:00:00,#¡VALOR!,acc
2019-06-22 03:00:00,#¡VALOR!,acc
2019-06-22 15:03:00,Medio-Bajo,b
2019-06-24 03:00:00,#¡VALOR!,acc
2019-06-25 15:03:00,Medio-Bajo,b
2019-06-26 03:00:00,#¡VALOR!,acc
2019-06-28 03:00:00,#¡VALOR!,acc
2019-06-28 15:03:00,Medio-Bajo,b
2019-06-30 03:00:00,#¡VALOR!,acc
2019-07-01 15:03:00,Medio-Bajo,b
2019-07-02 03:00:00,#¡VALOR!,acc
2019-07-04 03:00:00,#¡VALOR!,acc
2019-07-04 15:03:00,Medio-Bajo,b
2019-07-06 03:00:00,#¡VALOR!,acc
2019-07-07 15:03:00,Descargado,b
2019-07-08 03:00:00,#¡VALOR!,acc
2019-07-10 03:00:00,#¡VALOR!,acc
2019-07-10 15:03:00,Descargado,b
2019-07-12 03:00:00,#¡VALOR!,acc
2019-07-13 15:03:00,Descargado,b
2019-07-14 03:00:00,#¡VALOR!,acc
2019-07-16 03:00:00,#¡VALOR!,acc
2019-07-16 15:03:00,Descargado,b
2019-07-18 03:00:00,#¡VALOR!,acc
2019-07-19 15:03:00,Descargado,b
2019-07-20 03:00:00,#¡VALOR!,acc
2019-07-22 03:00:00,#¡VALOR!,acc
2019-07-22 15:03:00,Descargado,b
2019-07-24 03:00:00,#¡VALOR!,acc
2019-07-25 15:03:00,Descargado,b
2019-07-26 03:00:00,#¡VALOR!,acc
2019-07-28 03:00:00,#¡VALOR!,acc
2019-07-28 15:03:00,Descargado,b
2019-07-30 03:00:00,#¡VALOR!,acc
2019-07-31 15:03:00,Descargado,b
2019-08-01 03:00:00,#¡VALOR!,acc
2019-08-03 03:00:00,#¡VALOR!,acc
2019-08-03 15:03:00,Descargado,b
2019-08-05 03:00:00,#¡VALOR!,acc
2019-08-06 15:03:00,Descargado,b
2019-08-07 03:00:00,#¡VALOR!,acc
2019-08-09 03:00:00,#¡VALOR!,acc
2019-08-09 15:03:00,Descargado,b
2019-08-11 03:00:00,#¡VALOR!,acc
2019-08-12 15:03:00,Descargado,b
2019-08-13 03:00:00,#¡VALOR!,acc
2019-08-15 03:00:00,#¡VALOR!,acc
2019-08-15 15:03:00,Descargado,b
2019-08-17 03:00:00,#¡VALOR!,acc
2019-08-18 15:03:00,Descargado,b
2019-08-19 03:00:00,#¡VALOR!,acc
2019-08-21 03:00:00,#¡VALOR!,acc
2019-08-21 15:03:00,Descargado,b
2019-08-23 03:00:00,#¡VALOR!,acc
2019-08-24 15:03:00,Descargado,b
2019-08-25 03:00:00,#¡VALOR!,acc
2019-08-27 03:00:00,#¡VALOR!,acc
2019-08-27 15:03:00,Descargado,b
2019-08-29 03:00:00,#¡VALOR!,acc
2019-08-30 15:03:00,Descargado,b
2019-08-31 03:00:00,#¡VALOR!,acc
2019-09-02 03:00:00,#¡VALOR!,acc
2019-09-02 15:03:00,Descargado,b
2019-09-04 03:00:00,#¡VALOR!,acc
2019-09-05 15:03:00,Descargado,b
2019-09-06 03:00:00,#¡VALOR!,acc
2019-09-08 03:00:00,#¡VALOR!,acc
2019-09-08 15:03:00,Descargado,b
2019-09-10 03:00:00,#¡VALOR!,acc
2019-09-11 15:03:00,Descargado,b
2019-09-12 03:00:00,#¡VALOR!,acc
2019-09-14 03:00:00,#¡VALOR!,acc
2019-09-14 15:03:00,Descargado,b
2019-09-16 03:00:00,#¡VALOR!,acc
2019-09-17 15:03:00,Descargado,b
2019-09-18 03:00:00,#¡VALOR!,acc
2019-09-20 03:00:00,#¡VALOR!,acc
2019-09-20 10:00:00,S.O.S,a
2019-09-20 15:03:00,Descargado,b
2019-09-22 03:00:00,#¡VALOR!,acc
2019-09-23 15:03:00,Descargado,b
2019-09-24 03:00:00,#¡VALOR!,acc
2019-09-26 03:00:00,#¡VALOR!,acc
2019-09-26 15:03:00,Descargado,b
2019-09-28 03:00:00,#¡VALOR!,acc
2019-09-29 15:03:00,Descargado,b
2019-09-30 03:00:00,#¡VALOR!,acc
2019-10-02 03:00:00,#¡VALOR!,acc
2019-10-02 15:03:00,Descargado,b
2019-10-04 03:00:00,#¡VALOR!,acc
2019-10-05 15:03:00,Descargado,b
2019-10-06 03:00:00,#¡VALOR!,acc
2019-10-08 03:00:00,#¡VALOR!,acc
2019-10-08 15:03:00,Descargado,b
2019-10-10 03:00:00,#¡VALOR!,acc
2019-10-11 15:03:00,Descargado,b
2019-10-12 03:00:00,#¡VALOR!,acc
2019-10-14 03:00:00,#¡VALOR!,acc
2019-10-14 15:03:00,Descargado,b
2019-10-16 03:00:00,#¡VALOR!,acc
2019-10-17 15:03:00,Descargado,b
2019-10-18 03:00:00,#¡VALOR!,acc
2019-10-20 03:00:00,#¡VALOR!,acc
2019-10-20 15:03:00,Descargado,b
2019-10-22 03:00:00,#¡VALOR!,acc
2019-10-23 15:03:00,Descargado,b
2019-10-24 03:00:00,#¡VALOR!,acc
2019-10-26 03:00:00,#¡VALOR!,acc
2019-10-26 15:03:00,Descargado,b
2019-10-28 03:00:00,#¡VALOR!,acc
2019-10-29 15:03:00,Descargado,b
2019-10-30 03:00:00,#¡VALOR!,acc
2019-11-01 03:00:00,#¡VALOR!,acc
2019-11-01 15:03:00,Descargado,b
2019-11-03 03:00:00,#¡VALOR!,acc
2019-11-04 15:03:00,Descargado,b
2019-11-05 03:00:00,#¡VALOR!,acc
2019-11-07 03:00:00,#¡VALOR!,acc
2019-11-07 15:03:00,Descargado,b
2019-11-09 03:00:00,#¡VALOR!,acc
2019-11-10 15:03:00,Descargado,b
2019-11-11 03:00:00,#¡VALOR!,acc
2019-11-13 03:00:00,#¡VALOR!,acc
2019-11-13 15:03:00,Descargado,b
2019-11-15 03:00:00,#¡VALOR!,acc
2019-11-16 15:03:00,Descargado,b
2019-11-17 03:00:00,#¡VALOR!,acc
2019-11-19 03:00:00,#¡VALOR!,acc
2019-11-19 15:03:00,Descargado,b
2019-11-21 03:00:00,#¡VALOR!,acc
2019-11-22 15:03:00,Descargado,b
2019-11-23 03:00:00,6,acc
2019-11-25 03:00:00,8940,acc
2019-11-25 15:03:00,Descargado,b
